ID,NAME,AREA,CROP,VARIETY,PREVIOUS,GEOHASH,count,sum,mean,median,stdev,min,max,range,minority,majority,variety_1,TEST_count,TEST_sum,TEST_mean,TEST_media,TEST_stdev,TEST_min,TEST_max,TEST_range,TEST_minor,TEST_major,TEST_varie,Testcount,Testsum,Testmean,Testmedian,Teststdev,Testmin,Testmax,Testrange,Testminori,Testmajori,Testvariet,Buf21_coun,Buf21_sum,Buf21_mean,Buf21_medi,Buf21_stde,Buf21_min,Buf21_max,Buf21_rang,Buf21_mino,Buf21_majo,Buf21_vari,Buf21_co_1,Buf21_su_1,Buf21_me_1,Buf21_me_2,Buf21_st_1,Buf21_mi_1,Buf21_ma_1,Buf21_ra_1,Buf21_mi_2,Buf21_ma_2,Buf21_va_1,Buf21_2_co,Buf21_2_su,Buf21_2_me,Buf21_2__1,Buf21_2_st,Buf21_2_mi,Buf21_2_ma,Buf21_2_ra,Buf21_2__2,Buf21_2__3,Buf21_2_va
71955.000000000000000,tegen boerderij,2.681000000000000,Grasland,None,None,u1mj8xpn7558,,,,,,,,,,,,,,,,,,,,,,,258.000000000000000,176.531515002250671,0.684230678303297,0.693500339984894,0.052776898296749,0.562160611152649,0.784499049186707,0.222338438034058,0.562160611152649,0.565856754779816,227,,,,,,,,,,,,127.000000000000000,88.371265351772308,0.696800231933594,,0.045237486504368,0.583305537700653,0.638509809970856,0.201193511486053,,,116,127.000000000000000,88.371265351772308,0.696800231933594,,0.045237486504368,0.583305537700653,0.638509809970856,0.201193511486053,,,116
71957.000000000000000,horntoen 1,3.279000000000000,Grasland,None,None,u1mj8zwqky3u,,,,,,,,,,,,,,,,,,,,,,,316.000000000000000,246.493311882019043,0.780042126208921,0.791585445404053,0.048985314051422,0.591561973094940,0.848954498767853,0.257392525672913,0.591561973094940,0.596701025962830,277,,,,,,,,,,,,143.000000000000000,113.877841055393219,0.800898194313049,,0.031976395858888,0.698461532592773,0.726382672786713,0.150492966175079,,,126,143.000000000000000,113.877841055393219,0.800898194313049,,0.031976395858888,0.698461532592773,0.726382672786713,0.150492966175079,,,126
71956.000000000000000,horntoen 2,4.405200000000000,Grasland,None,None,u1mjbbj6n6ed,,,,,,,,,,,,,,,,,,,,,,,428.000000000000000,308.427478015422821,0.720624948634165,0.727430224418640,0.075583885298108,0.547846913337708,0.861834108829498,0.313987195491791,0.547846913337708,0.589358389377594,378,,,,,,,,,,,,273.000000000000000,193.289349973201752,0.699327290058136,,0.085375157003745,0.547846913337708,0.589358389377594,0.313987195491791,,,247,273.000000000000000,193.289349973201752,0.699327290058136,,0.085375157003745,0.547846913337708,0.589358389377594,0.313987195491791,,,247
71958.000000000000000,huiges 2,4.056700000000000,Aardappel,None,Aardappel,u1kvxgbezgju,,,,,,,,,,,,,,,,,,,,,,,392.000000000000000,126.600795120000839,0.322961212040818,0.313210427761078,0.046922555885744,0.236044675111771,0.452885568141937,0.216840893030167,0.236044675111771,0.243793219327927,354,,,,,,,,,,,,258.000000000000000,81.916641533374786,0.299763351678848,,0.049584330034982,0.236044675111771,0.251115649938583,0.216840893030167,,,229,258.000000000000000,81.916641533374786,0.299763351678848,,0.049584330034982,0.236044675111771,0.251115649938583,0.216840893030167,,,229
71954.000000000000000,huiges 1,11.283300000000001,Aardappel,None,Mais,u1kvxew76rqe,,,,,,,,,,,,,,,,,,,,,,,1119.000000000000000,342.846822246909142,0.306386793786335,0.292715221643448,0.059405206881041,0.218766450881958,0.686219096183777,0.467452645301819,0.218766450881958,0.228801533579826,989,,,,,,,,,,,,846.000000000000000,246.462894126772881,0.288487344980240,,0.032255206755001,0.218766450881958,0.228801533579826,0.286191582679749,,,748,846.000000000000000,246.462894126772881,0.288487344980240,,0.032255206755001,0.218766450881958,0.228801533579826,0.286191582679749,,,748
71926.000000000000000,Voor Aike Maarsingh,7.336300000000000,Aardappel,None,Wintertarwe,u1kvxd0w8jcp,,,,,,,,,,,,,,,,,,,,,,,710.000000000000000,282.349391579627991,0.397675199407927,0.367547482252121,0.086847916664500,0.292293637990952,0.719312608242035,0.427018970251083,0.292293637990952,0.359961003065109,641,,,,,,,,,,,,431.000000000000000,159.481491804122925,0.364251196384430,,0.042762406858911,0.301572620868683,0.359961003065109,0.352697908878326,,,381,431.000000000000000,159.481491804122925,0.364251196384430,,0.042762406858911,0.301572620868683,0.359961003065109,0.352697908878326,,,381
71935.000000000000000,vosseberg,8.948100000000000,Aardappel,None,Wintertarwe,u1mj2wbn75yb,,,,,,,,,,,,,,,,,,,,,,,879.000000000000000,289.904495805501938,0.329811713089308,0.326352506875992,0.027432005074484,0.275596618652344,0.448028624057770,0.172432005405426,0.275596618652344,0.331250011920929,780,,,,,,,,,,,,565.000000000000000,181.850392371416092,0.321281850337982,,0.019398248711320,0.276216000318527,0.351010113954544,0.106559127569199,,,502,565.000000000000000,181.850392371416092,0.321281850337982,,0.019398248711320,0.276216000318527,0.351010113954544,0.106559127569199,,,502
71967.000000000000000,emkes B,5.577800000000000,Grasland,None,None,u1mj8xye8quz,,,,,,,,,,,,,,,,,,,,,,,559.000000000000000,386.215756863355637,0.690904752886146,0.709963798522949,0.071881467597228,0.410084009170532,0.814152956008911,0.404068946838379,0.410084009170532,0.577369809150696,505,,,,,,,,,,,,343.000000000000000,236.335007220506668,0.709642469882965,,0.074725269362493,0.410084009170532,0.606962919235229,0.392458975315094,,,318,343.000000000000000,236.335007220506668,0.709642469882965,,0.074725269362493,0.410084009170532,0.606962919235229,0.392458975315094,,,318
71968.000000000000000,ruschedingen,3.783100000000000,Grasland,None,None,u1mj8xs85140,,,,,,,,,,,,,,,,,,,,,,,382.000000000000000,287.423825204372406,0.752418390587362,0.752630114555359,0.048220309821335,0.456921577453613,0.834883749485016,0.377962172031403,0.456921577453613,0.587378621101379,345,,,,,,,,,,,,230.000000000000000,174.634632766246796,0.754038453102112,,0.040308505803553,0.654723167419434,0.682951152324677,0.173487126827240,,,203,230.000000000000000,174.634632766246796,0.754038453102112,,0.040308505803553,0.654723167419434,0.682951152324677,0.173487126827240,,,203
71915.000000000000000,molenpaal,2.989200000000000,Grasland,None,None,u1mj8xe645sv,,,,,,,,,,,,,,,,,,,,,,,289.000000000000000,210.636467367410660,0.728845907845712,0.736949145793915,0.069100292642248,0.456921577453613,0.824748754501343,0.367827177047729,0.456921577453613,0.735215604305267,257,,,,,,,,,,,,97.000000000000000,72.788326680660248,0.766914844512939,,0.050577141670072,0.641915321350098,0.676727056503296,0.182833433151245,,,91,97.000000000000000,72.788326680660248,0.766914844512939,,0.050577141670072,0.641915321350098,0.676727056503296,0.182833433151245,,,91
